Timestamp,   ¿En qué rango de edad te encuentras?  ,   ¿Cuál es tu área de estudio?  ,"  ¿Cuántas horas al día utilizas herramientas de IA (ChatGPT, Copilot, etc.)?  ",¿Con qué frecuencia utilizas herramientas de IA?,  ¿Cuál es el principal uso que le das a la IA?  ,  Siento que las herramientas de IA me brindan soporte emocional.  ,  A veces prefiero interactuar con una IA en lugar de hablar con otras personas.  ,  Me siento incómodo(a) cuando no puedo usar herramientas de IA  ,  Utilizo la IA para tomar decisiones personales.  ,  Siento que la IA “me entiende”.  ,"  En algunas situaciones, confío más en la IA que en otras personas.  ",¿Con qué frecuencia interactúas socialmente en persona?  ,"Cuando tienes un problema, ¿a quién recurres primero?  ",¿Has utilizado IA para apoyo emocional?  ,¿Prefieres el consejo de una IA sobre el de una persona en algunas situaciones?  
4/15/2026 17:54:07,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,2,2,2,3,2,2,Muy frecuentemente,Ambos por igual,Sí,No
4/15/2026 18:02:57,18-21,Ciencias Sociales / Humanidades,1–2 horas,Varias veces al día,Estudio / tareas académicas,4,4,1,2,4,1,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 18:04:54,18-21,Ingeniería / STEM,Más de 4 horas,Varias veces al día,Estudio / tareas académicas,3,2,3,3,3,4,Muy frecuentemente,Ambos por igual,Sí,Sí
4/15/2026 18:12:46,18-21,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,1,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 18:35:37,18-21,Ingeniería / STEM,2–4 horas,Una vez al día,Estudio / tareas académicas,4,3,3,2,2,2,Ocasionalmente,Ambos por igual,Sí,Sí
4/15/2026 18:48:10,+25,Otro,1–2 horas,Una vez al día,Trabajo,2,3,1,1,1,1,Muy frecuentemente,Ambos por igual,No,No
4/15/2026 18:54:21,+25,Ciencias Sociales / Humanidades,Menos de 1 hora,Varias veces al día,Apoyo emocional / personal,5,5,1,3,3,5,Muy frecuentemente,Ambos por igual,Sí,Sí
4/15/2026 19:16:31,22-24,Negocios / Administración,2–4 horas,Varias veces al día,Trabajo,1,1,1,1,1,1,Frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 19:18:01,18-21,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Entretenimiento,3,1,1,2,2,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 19:26:49,+25,Otro,1–2 horas,Varias veces al día,Apoyo emocional / personal,5,5,4,5,5,5,Muy frecuentemente,IA,Sí,Sí
4/15/2026 19:58:06,22-24,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,1,1,1,1,1,1,Frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 20:04:47,18-21,Ingeniería / STEM,2–4 horas,Varias veces al día,Estudio / tareas académicas,3,1,2,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",Sí,Sí
4/15/2026 20:17:41,18-21,Ingeniería / STEM,Menos de 1 hora,Varias veces al día,Estudio / tareas académicas,2,5,1,4,2,5,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 20:23:16,18-21,Ciencias Sociales / Humanidades,Más de 4 horas,Varias veces al día,Estudio / tareas académicas,1,1,1,1,2,3,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 20:25:07,18-21,Ingeniería / STEM,Menos de 1 hora,Varias veces al día,Estudio / tareas académicas,1,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 20:34:32,18-21,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,1,1,1,1,3,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 20:38:29,22-24,Otro,1–2 horas,Algunas veces a la semana,Trabajo,5,3,1,3,4,2,Frecuentemente,Ambos por igual,Sí,No
4/15/2026 20:47:41,18-21,Ingeniería / STEM,Menos de 1 hora,Varias veces al día,Estudio / tareas académicas,3,2,3,3,2,2,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 20:48:35,18-21,Otro,Menos de 1 hora,Una vez al día,Estudio / tareas académicas,1,1,1,1,1,3,Frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 21:14:05,18-21,Otro,2–4 horas,Algunas veces a la semana,Estudio / tareas académicas,1,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 21:24:37,18-21,Negocios / Administración,1–2 horas,Varias veces al día,Estudio / tareas académicas,1,1,1,1,1,1,Rara vez,"Personas (amigos, familia)",No,No
4/15/2026 21:30:01,+25,Ciencias Sociales / Humanidades,Menos de 1 hora,Algunas veces a la semana,Trabajo,1,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 21:30:50,22-24,Negocios / Administración,1–2 horas,Varias veces al día,Estudio / tareas académicas,1,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 21:33:08,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,3,1,3,1,3,1,Muy frecuentemente,Ambos por igual,Sí,No
4/15/2026 21:37:21,18-21,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,1,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 22:09:00,18-21,Ciencias Sociales / Humanidades,Más de 4 horas,Varias veces al día,Entretenimiento,2,5,5,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/15/2026 22:16:46,18-21,Otro,Más de 4 horas,Varias veces al día,Estudio / tareas académicas,2,1,3,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/15/2026 22:17:00,18-21,Ingeniería / STEM,Menos de 1 hora,Rara vez,Apoyo emocional / personal,5,5,1,5,5,5,Muy frecuentemente,IA,Sí,Sí
4/15/2026 22:52:55,22-24,Ciencias Sociales / Humanidades,Menos de 1 hora,Rara vez,Estudio / tareas académicas,1,3,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/16/2026 0:06:26,22-24,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,3,4,1,2,2,2,Frecuentemente,"Personas (amigos, familia)",Sí,No
4/16/2026 0:42:25,18-21,Otro,Menos de 1 hora,Una vez al día,Estudio / tareas académicas,1,1,2,2,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/16/2026 8:52:43,18-21,Ingeniería / STEM,1–2 horas,Una vez al día,Estudio / tareas académicas,2,2,1,2,2,4,Frecuentemente,"Personas (amigos, familia)",No,No
4/16/2026 9:02:49,18-21,Ingeniería / STEM,2–4 horas,Varias veces al día,Estudio / tareas académicas,3,1,4,1,5,5,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/16/2026 9:04:49,22-24,Ingeniería / STEM,1–2 horas,Una vez al día,Estudio / tareas académicas,1,1,1,1,1,2,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/16/2026 10:10:31,18-21,Ingeniería / STEM,Menos de 1 hora,Una vez al día,Estudio / tareas académicas,1,1,1,1,1,2,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/16/2026 10:40:48,18-21,Otro,1–2 horas,Una vez al día,Estudio / tareas académicas,3,2,1,2,2,1,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/16/2026 10:56:47,18-21,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,2,1,2,1,2,4,Frecuentemente,"Personas (amigos, familia)",Sí,Sí
4/16/2026 13:36:53,18-21,Otro,1–2 horas,Una vez al día,Entretenimiento,1,3,3,2,2,2,Frecuentemente,Ambos por igual,Sí,Sí
4/16/2026 13:41:07,18-21,Otro,Más de 4 horas,Varias veces al día,Trabajo,2,1,3,3,3,3,Ocasionalmente,"Personas (amigos, familia)",No,No
4/16/2026 15:43:20,18-21,Ciencias Sociales / Humanidades,1–2 horas,Algunas veces a la semana,Estudio / tareas académicas,2,2,1,2,3,1,Frecuentemente,"Personas (amigos, familia)",Sí,No
4/16/2026 15:48:18,22-24,Otro,Menos de 1 hora,Rara vez,Estudio / tareas académicas,1,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/16/2026 18:25:44,18-21,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Entretenimiento,2,1,1,1,1,1,Frecuentemente,"Personas (amigos, familia)",No,No
4/17/2026 9:40:00,18-21,Ingeniería / STEM,Menos de 1 hora,Una vez al día,Estudio / tareas académicas,1,1,2,1,1,2,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/17/2026 9:44:33,18-21,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,1,1,1,2,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/17/2026 10:16:02,18-21,Negocios / Administración,Más de 4 horas,Varias veces al día,Trabajo,4,3,3,3,5,3,Ocasionalmente,Ambos por igual,Sí,Sí
4/17/2026 12:08:49,22-24,Negocios / Administración,Menos de 1 hora,Una vez al día,Trabajo,1,1,1,1,1,1,Frecuentemente,"Personas (amigos, familia)",No,No
4/17/2026 16:02:05,+25,Negocios / Administración,Menos de 1 hora,Algunas veces a la semana,Trabajo,1,1,3,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/18/2026 1:06:23,18-21,Negocios / Administración,Más de 4 horas,Varias veces al día,Apoyo emocional / personal,5,5,5,4,4,3,Frecuentemente,IA,Sí,Sí
4/18/2026 7:01:25,Menos de 18,Otro,Menos de 1 hora,Varias veces al día,Estudio / tareas académicas,5,3,1,4,5,5,Muy frecuentemente,"Personas (amigos, familia)",Sí,Sí
4/18/2026 14:53:51,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Apoyo emocional / personal,4,4,4,5,4,4,Frecuentemente,Ambos por igual,Sí,No
4/18/2026 17:59:44,22-24,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,1,1,1,1,1,3,Frecuentemente,"Personas (amigos, familia)",No,No
4/18/2026 22:50:33,Menos de 18,Otro,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,1,1,1,1,1,2,Ocasionalmente,"Personas (amigos, familia)",No,No
4/19/2026 8:44:40,18-21,Otro,Menos de 1 hora,Algunas veces a la semana,Entretenimiento,2,1,1,2,2,1,Frecuentemente,"Personas (amigos, familia)",Sí,No
4/19/2026 9:25:25,18-21,Ingeniería / STEM,Menos de 1 hora,Una vez al día,Apoyo emocional / personal,2,5,3,1,4,4,Ocasionalmente,IA,Sí,Sí
4/19/2026 9:42:47,18-21,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,2,1,1,2,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/19/2026 12:25:34,18-21,Ciencias Sociales / Humanidades,Más de 4 horas,Varias veces al día,Estudio / tareas académicas,5,1,5,4,3,4,Muy frecuentemente,Ambos por igual,Sí,Sí
4/19/2026 13:34:27,18-21,Otro,Más de 4 horas,Varias veces al día,Trabajo,2,2,1,2,1,1,Ocasionalmente,"Personas (amigos, familia)",No,No
4/20/2026 13:22:47,18-21,Negocios / Administración,2–4 horas,Varias veces al día,Estudio / tareas académicas,3,2,3,3,2,2,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
4/20/2026 13:26:23,18-21,Otro,Menos de 1 hora,Una vez al día,Estudio / tareas académicas,1,1,1,1,1,1,Ocasionalmente,"Personas (amigos, familia)",No,No
4/20/2026 19:35:11,18-21,Ingeniería / STEM,1–2 horas,Una vez al día,Estudio / tareas académicas,1,1,1,5,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
4/20/2026 20:49:37,18-21,Ingeniería / STEM,2–4 horas,Varias veces al día,Apoyo emocional / personal,4,3,4,5,4,5,Frecuentemente,IA,Sí,Sí
5/6/2026 8:33:20,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,2,2,1,1,1,1,Frecuentemente,"Personas (amigos, familia)",No,No
5/6/2026 8:35:56,18-21,Ingeniería / STEM,2–4 horas,Varias veces al día,Estudio / tareas académicas,5,3,3,4,4,4,Ocasionalmente,IA,Sí,Sí
5/6/2026 9:45:04,18-21,Ingeniería / STEM,1–2 horas,Una vez al día,Estudio / tareas académicas,3,2,3,4,4,2,Frecuentemente,"Personas (amigos, familia)",Sí,No
5/6/2026 9:47:45,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,3,2,4,4,4,4,Frecuentemente,"Personas (amigos, familia)",Sí,Sí
5/6/2026 9:48:50,18-21,Ingeniería / STEM,1–2 horas,Algunas veces a la semana,Estudio / tareas académicas,3,3,2,2,3,3,Frecuentemente,"Personas (amigos, familia)",Sí,Sí
5/6/2026 9:49:40,18-21,Ingeniería / STEM,2–4 horas,Varias veces al día,Estudio / tareas académicas,4,1,4,3,1,2,Frecuentemente,Ambos por igual,Sí,No
5/6/2026 9:52:36,18-21,Ingeniería / STEM,2–4 horas,Varias veces al día,Estudio / tareas académicas,3,1,3,2,2,1,Rara vez,Ambos por igual,Sí,Sí
5/6/2026 9:57:29,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,1,4,3,2,4,4,Muy frecuentemente,"Personas (amigos, familia)",Sí,Sí
5/6/2026 10:19:53,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,4,5,2,2,3,4,Ocasionalmente,Ambos por igual,Sí,No
5/6/2026 10:34:40,+25,Ciencias Sociales / Humanidades,Menos de 1 hora,Algunas veces a la semana,Entretenimiento,3,3,3,1,3,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
5/6/2026 10:36:46,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,1,1,2,4,2,5,Rara vez,Ambos por igual,No,Sí
5/6/2026 10:53:45,+25,Ciencias Sociales / Humanidades,Menos de 1 hora,Una vez al día,Estudio / tareas académicas,1,1,1,1,1,1,Frecuentemente,"Personas (amigos, familia)",No,No
5/6/2026 11:11:54,18-21,Ciencias Sociales / Humanidades,Menos de 1 hora,Varias veces al día,Apoyo emocional / personal,3,1,1,1,2,2,Muy frecuentemente,Ambos por igual,Sí,Sí
5/6/2026 11:35:07,+25,Ciencias Sociales / Humanidades,Menos de 1 hora,Rara vez,Entretenimiento,1,1,1,1,1,1,Frecuentemente,"Personas (amigos, familia)",No,No
5/6/2026 11:36:12,+25,Ciencias Sociales / Humanidades,2–4 horas,Varias veces al día,Estudio / tareas académicas,1,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
5/6/2026 17:40:43,18-21,Ingeniería / STEM,2–4 horas,Varias veces al día,Estudio / tareas académicas,1,1,5,4,3,3,Rara vez,Ambos por igual,No,Sí
5/6/2026 18:26:19,22-24,Ciencias Sociales / Humanidades,1–2 horas,Una vez al día,Estudio / tareas académicas,4,4,3,2,3,3,Ocasionalmente,IA,Sí,No
5/6/2026 18:40:04,18-21,Ciencias Sociales / Humanidades,Menos de 1 hora,Rara vez,Estudio / tareas académicas,1,1,1,1,1,1,Ocasionalmente,"Personas (amigos, familia)",No,No
5/8/2026 22:53:43,22-24,Ciencias Sociales / Humanidades,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,3,1,3,2,3,3,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
5/12/2026 8:16:44,18-21,Ingeniería / STEM,1–2 horas,Algunas veces a la semana,Estudio / tareas académicas,2,1,2,1,3,2,Frecuentemente,"Personas (amigos, familia)",Sí,No
5/12/2026 8:17:11,18-21,Ingeniería / STEM,1–2 horas,Algunas veces a la semana,Entretenimiento,2,2,2,1,3,2,Frecuentemente,"Personas (amigos, familia)",No,Sí
5/12/2026 8:17:21,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,3,3,2,2,2,3,Muy frecuentemente,Ambos por igual,Sí,No
5/12/2026 8:18:37,18-21,Ingeniería / STEM,2–4 horas,Varias veces al día,Estudio / tareas académicas,2,2,3,2,3,2,Frecuentemente,"Personas (amigos, familia)",Sí,No
5/12/2026 8:18:43,18-21,Ingeniería / STEM,Menos de 1 hora,Varias veces al día,Estudio / tareas académicas,1,1,2,2,1,2,Muy frecuentemente,"Personas (amigos, familia)",No,Sí
5/12/2026 8:28:35,18-21,Ingeniería / STEM,1–2 horas,Algunas veces a la semana,Estudio / tareas académicas,2,1,1,1,2,1,Frecuentemente,"Personas (amigos, familia)",Sí,No
5/12/2026 8:33:57,18-21,Ingeniería / STEM,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,1,1,1,1,1,1,Frecuentemente,"Personas (amigos, familia)",No,No
5/12/2026 8:35:17,18-21,Ingeniería / STEM,1–2 horas,Una vez al día,Estudio / tareas académicas,1,1,2,1,1,1,Ocasionalmente,"Personas (amigos, familia)",No,Sí
5/12/2026 8:37:53,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,1,1,2,1,1,3,Frecuentemente,"Personas (amigos, familia)",No,No
5/12/2026 8:49:16,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,2,1,1,1,1,1,Muy frecuentemente,"Personas (amigos, familia)",No,No
5/12/2026 11:14:19,22-24,Ingeniería / STEM,1–2 horas,Una vez al día,Estudio / tareas académicas,2,1,1,1,2,1,Frecuentemente,"Personas (amigos, familia)",Sí,No
5/12/2026 11:22:57,+25,Ingeniería / STEM,1–2 horas,Varias veces al día,Trabajo,1,1,2,3,2,5,Muy frecuentemente,Ambos por igual,No,Sí
5/12/2026 12:17:35,18-21,Ingeniería / STEM,Menos de 1 hora,Una vez al día,Estudio / tareas académicas,1,4,3,2,1,1,Muy frecuentemente,"Personas (amigos, familia)",Sí,No
5/12/2026 13:57:34,18-21,Otro,Menos de 1 hora,Algunas veces a la semana,Estudio / tareas académicas,3,2,2,2,1,3,Frecuentemente,Ambos por igual,No,No
5/12/2026 16:34:12,18-21,Ingeniería / STEM,1–2 horas,Varias veces al día,Estudio / tareas académicas,4,2,1,3,3,4,Muy frecuentemente,"Personas (amigos, familia)",Sí,Sí
5/12/2026 17:00:08,18-21,Ingeniería / STEM,Más de 4 horas,Varias veces al día,Estudio / tareas académicas,4,4,1,3,5,4,Ocasionalmente,Ambos por igual,Sí,Sí
5/12/2026 21:36:54,18-21,Ingeniería / STEM,Menos de 1 hora,Rara vez,Estudio / tareas académicas,4,3,5,4,5,5,Muy frecuentemente,"Personas (amigos, familia)",Sí,Sí
